time, nthreads, ndatablocks, itermax, size
0.774665, 1, 10, 1000, 1048576
0.768196, 1, 10, 1000, 1048576
0.772534, 1, 10, 1000, 1048576
0.768941, 1, 10, 1000, 1048576
0.766822, 1, 10, 1000, 1048576
0.398683, 2, 10, 1000, 1048576
0.398155, 2, 10, 1000, 1048576
0.39963, 2, 10, 1000, 1048576
0.401712, 2, 10, 1000, 1048576
0.392703, 2, 10, 1000, 1048576
0.277518, 3, 10, 1000, 1048576
0.286242, 3, 10, 1000, 1048576
0.283456, 3, 10, 1000, 1048576
0.286374, 3, 10, 1000, 1048576
0.292018, 3, 10, 1000, 1048576
0.227975, 4, 10, 1000, 1048576
0.221845, 4, 10, 1000, 1048576
0.224515, 4, 10, 1000, 1048576
0.224929, 4, 10, 1000, 1048576
0.225317, 4, 10, 1000, 1048576
