time, nthreads, ndatablocks, itermax, size
0.240382, 16, 1, 1000, 1048576
0.239211, 16, 1, 1000, 1048576
0.23985, 16, 1, 1000, 1048576
0.134539, 16, 2, 1000, 1048576
0.13462, 16, 2, 1000, 1048576
0.135181, 16, 2, 1000, 1048576
0.107505, 16, 3, 1000, 1048576
0.107768, 16, 3, 1000, 1048576
0.108142, 16, 3, 1000, 1048576
0.108194, 16, 4, 1000, 1048576
0.108773, 16, 4, 1000, 1048576
0.106306, 16, 4, 1000, 1048576
0.0989442, 16, 5, 1000, 1048576
0.0983841, 16, 5, 1000, 1048576
0.0991108, 16, 5, 1000, 1048576
0.102587, 16, 6, 1000, 1048576
0.102452, 16, 6, 1000, 1048576
0.103041, 16, 6, 1000, 1048576
0.0988789, 16, 7, 1000, 1048576
0.097311, 16, 7, 1000, 1048576
0.0991392, 16, 7, 1000, 1048576
0.100136, 16, 8, 1000, 1048576
0.0982361, 16, 8, 1000, 1048576
0.0987399, 16, 8, 1000, 1048576
0.098578, 16, 9, 1000, 1048576
0.096118, 16, 9, 1000, 1048576
0.0967641, 16, 9, 1000, 1048576
0.0985219, 16, 10, 1000, 1048576
0.0983238, 16, 10, 1000, 1048576
0.0990012, 16, 10, 1000, 1048576
