time, nthreads, ndatablocks, itermax, size
2.18391, 16, 1, 10000, 1048576
2.18385, 16, 1, 10000, 1048576
2.18876, 16, 1, 10000, 1048576
1.15006, 16, 2, 10000, 1048576
1.14733, 16, 2, 10000, 1048576
1.15066, 16, 2, 10000, 1048576
0.875686, 16, 3, 10000, 1048576
0.878249, 16, 3, 10000, 1048576
0.875249, 16, 3, 10000, 1048576
0.856212, 16, 4, 10000, 1048576
0.856767, 16, 4, 10000, 1048576
0.85728, 16, 4, 10000, 1048576
0.777274, 16, 5, 10000, 1048576
0.778501, 16, 5, 10000, 1048576
0.777194, 16, 5, 10000, 1048576
0.812947, 16, 6, 10000, 1048576
0.810614, 16, 6, 10000, 1048576
0.811669, 16, 6, 10000, 1048576
0.772709, 16, 7, 10000, 1048576
0.77154, 16, 7, 10000, 1048576
0.770342, 16, 7, 10000, 1048576
0.771373, 16, 8, 10000, 1048576
0.776732, 16, 8, 10000, 1048576
0.770753, 16, 8, 10000, 1048576
0.760454, 16, 9, 10000, 1048576
0.759572, 16, 9, 10000, 1048576
0.760422, 16, 9, 10000, 1048576
0.781043, 16, 10, 10000, 1048576
0.781577, 16, 10, 10000, 1048576
0.783448, 16, 10, 10000, 1048576
