time, nthreads, ndatablocks, itermax, size
0.722838, 1, 10, 1000, 1048576
0.723698, 1, 10, 1000, 1048576
0.723854, 1, 10, 1000, 1048576
0.722019, 1, 10, 1000, 1048576
0.719146, 1, 10, 1000, 1048576
0.379452, 2, 10, 1000, 1048576
0.375941, 2, 10, 1000, 1048576
0.377785, 2, 10, 1000, 1048576
0.381692, 2, 10, 1000, 1048576
0.376932, 2, 10, 1000, 1048576
0.27537, 3, 10, 1000, 1048576
0.274531, 3, 10, 1000, 1048576
0.273299, 3, 10, 1000, 1048576
0.275882, 3, 10, 1000, 1048576
0.272431, 3, 10, 1000, 1048576
0.211105, 4, 10, 1000, 1048576
0.209996, 4, 10, 1000, 1048576
0.209343, 4, 10, 1000, 1048576
0.208925, 4, 10, 1000, 1048576
0.208955, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
0.000300884, 4, 10, 10, 4
0.000174999, 4, 10, 10, 4
0.000223875, 4, 10, 10, 4
0.000211, 4, 10, 10, 4
0.000187159, 4, 10, 10, 4
0.000183821, 4, 10, 10, 4
0.000174999, 4, 10, 10, 4
0.00018692, 4, 10, 10, 4
0.000185013, 4, 10, 10, 4
0.000185966, 4, 10, 10, 4
0.000331879, 4, 10, 10, 4
0.000292778, 4, 10, 10, 4
0.000187159, 4, 10, 10, 4
0.000177145, 4, 10, 10, 4
0.000198126, 4, 10, 10, 4
0.0002141, 4, 10, 10, 4
0.00019598, 4, 10, 10, 4
0.000189066, 4, 10, 10, 4
0.00018096, 4, 10, 10, 4
0.000290155, 4, 10, 10, 4
time, nthreads, ndatablocks, itermax, size
0.000289202, 4, 10, 10, 4
0.000248909, 4, 10, 10, 4
0.000236034, 4, 10, 10, 4
0.000211, 4, 10, 10, 4
0.000304937, 4, 10, 10, 4
0.000380993, 4, 10, 10, 4
0.000248909, 4, 10, 10, 4
0.000257969, 4, 10, 10, 4
0.000211, 4, 10, 10, 4
0.000232935, 4, 10, 10, 4
0.000241041, 4, 10, 10, 4
0.000229836, 4, 10, 10, 4
0.000203133, 4, 10, 10, 4
0.00018096, 4, 10, 10, 4
0.000287056, 4, 10, 10, 4
0.000236034, 4, 10, 10, 4
0.000217915, 4, 10, 10, 4
0.000241041, 4, 10, 10, 4
0.00020504, 4, 10, 10, 4
0.00027895, 4, 10, 10, 4
time, nthreads, ndatablocks, itermax, size
0.000243902, 4, 10, 10, 4
0.00022912, 4, 10, 10, 4
0.000234842, 4, 10, 10, 4
0.000231028, 4, 10, 10, 4
0.00026083, 4, 10, 10, 4
0.000248909, 4, 10, 10, 4
0.000276089, 4, 10, 10, 4
0.000257969, 4, 10, 10, 4
0.000252008, 4, 10, 10, 4
0.000231981, 4, 10, 10, 4
