time, nthreads, ndatablocks, itermax, size
0.725147, 1, 10, 1000, 1048576
0.731439, 1, 10, 1000, 1048576
0.71942, 1, 10, 1000, 1048576
0.717791, 1, 10, 1000, 1048576
0.71901, 1, 10, 1000, 1048576
0.378903, 2, 10, 1000, 1048576
0.376345, 2, 10, 1000, 1048576
0.379164, 2, 10, 1000, 1048576
0.38376, 2, 10, 1000, 1048576
0.377712, 2, 10, 1000, 1048576
0.272766, 3, 10, 1000, 1048576
0.27334, 3, 10, 1000, 1048576
0.27281, 3, 10, 1000, 1048576
0.275278, 3, 10, 1000, 1048576
0.274799, 3, 10, 1000, 1048576
0.210169, 4, 10, 1000, 1048576
0.210302, 4, 10, 1000, 1048576
0.210752, 4, 10, 1000, 1048576
0.210456, 4, 10, 1000, 1048576
0.21011, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
0.211782, 4, 10, 1000, 1048576
0.211175, 4, 10, 1000, 1048576
0.209724, 4, 10, 1000, 1048576
0.210417, 4, 10, 1000, 1048576
0.210912, 4, 10, 1000, 1048576
0.214279, 4, 10, 1000, 1048576
0.209659, 4, 10, 1000, 1048576
0.224983, 4, 10, 1000, 1048576
0.211068, 4, 10, 1000, 1048576
0.210646, 4, 10, 1000, 1048576
0.212982, 4, 10, 1000, 1048576
0.2126, 4, 10, 1000, 1048576
0.20982, 4, 10, 1000, 1048576
0.210931, 4, 10, 1000, 1048576
0.211222, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
0.719193, 1, 10, 1000, 1048576
0.727081, 1, 10, 1000, 1048576
0.719143, 1, 10, 1000, 1048576
0.72347, 1, 10, 1000, 1048576
0.717785, 1, 10, 1000, 1048576
0.380261, 2, 10, 1000, 1048576
0.377179, 2, 10, 1000, 1048576
0.378099, 2, 10, 1000, 1048576
0.383731, 2, 10, 1000, 1048576
0.376432, 2, 10, 1000, 1048576
0.27466, 3, 10, 1000, 1048576
0.275679, 3, 10, 1000, 1048576
0.273061, 3, 10, 1000, 1048576
0.275322, 3, 10, 1000, 1048576
0.273631, 3, 10, 1000, 1048576
0.218271, 4, 10, 1000, 1048576
0.209874, 4, 10, 1000, 1048576
0.211202, 4, 10, 1000, 1048576
0.20937, 4, 10, 1000, 1048576
0.212317, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
0.209208, 4, 10, 1000, 1048576
0.222918, 4, 10, 1000, 1048576
0.209134, 4, 10, 1000, 1048576
0.20932, 4, 10, 1000, 1048576
0.209166, 4, 10, 1000, 1048576
0.210552, 4, 10, 1000, 1048576
0.209064, 4, 10, 1000, 1048576
0.20952, 4, 10, 1000, 1048576
0.209253, 4, 10, 1000, 1048576
0.213807, 4, 10, 1000, 1048576
0.211027, 4, 10, 1000, 1048576
0.209909, 4, 10, 1000, 1048576
0.220219, 4, 10, 1000, 1048576
0.209293, 4, 10, 1000, 1048576
0.2091, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
0.210662, 4, 10, 1000, 1048576
0.211988, 4, 10, 1000, 1048576
0.209017, 4, 10, 1000, 1048576
0.209365, 4, 10, 1000, 1048576
0.210648, 4, 10, 1000, 1048576
0.209837, 4, 10, 1000, 1048576
0.210339, 4, 10, 1000, 1048576
0.209368, 4, 10, 1000, 1048576
0.209277, 4, 10, 1000, 1048576
0.209191, 4, 10, 1000, 1048576
0.210765, 4, 10, 1000, 1048576
0.209679, 4, 10, 1000, 1048576
0.210276, 4, 10, 1000, 1048576
0.210774, 4, 10, 1000, 1048576
0.210144, 4, 10, 1000, 1048576
0.209451, 4, 10, 1000, 1048576
0.209347, 4, 10, 1000, 1048576
0.210676, 4, 10, 1000, 1048576
0.209128, 4, 10, 1000, 1048576
0.21038, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
call StencilImplementation
0.0336239, 1, 10, 1000, 1048576
call StencilImplementation
0.033457, 1, 10, 1000, 1048576
call StencilImplementation
0.033386, 1, 10, 1000, 1048576
call StencilImplementation
0.034024, 1, 10, 1000, 1048576
call StencilImplementation
0.0350981, 1, 10, 1000, 1048576
call StencilImplementation
0.0349619, 2, 10, 1000, 1048576
